Gene,count,mean,median,max,min,std
5682,5,0.134,0.0,28.0,0.0,1.8930471805075617
1387,84,2.359,0.0,34.0,0.0,7.818391538305448
3184,30,0.834,0.0,34.0,0.0,4.755739801656633
2521,92,2.641,0.0,36.0,0.0,8.334841845445455
5093,35,0.972,0.0,31.0,0.0,5.114623678764194
6432,10,0.274,0.0,30.0,0.0,2.7306373579038974
29079,31,0.883,0.0,33.0,0.0,4.954579584471205
386681,26,0.724,0.0,31.0,0.0,4.4381889911901595
6188,55,1.613,0.0,36.0,0.0,6.716274215615332
6208,7,0.197,0.0,30.0,0.0,2.3511101034870143
3183,26,0.721,0.0,34.0,0.0,4.42795277366028
10282,11,0.303,0.0,30.0,0.0,2.879841051947917
11140,103,2.901,0.0,33.0,0.0,8.589935156099026
3916,14,0.401,0.0,36.0,0.0,3.3860987381741636
7428,58,1.66,0.0,37.0,0.0,6.728125122771399
648,14,0.399,0.0,32.0,0.0,3.356346833100547
6223,27,0.776,0.0,33.0,0.0,4.672864181597799
6147,25,0.719,0.0,34.0,0.0,4.506700494746612
83943,31,0.855,0.0,36.0,0.0,4.797811375407958
8453,21,0.592,0.0,32.0,0.0,4.051413327463633
54491,53,1.478,0.0,34.0,0.0,6.269834673005887
1785,2,0.052,0.0,26.0,0.0,1.1621732429576266
8844,70,1.98,0.0,38.0,0.0,7.240581884491468
10576,36,0.993,0.0,31.0,0.0,5.152426467063698
10574,9,0.245,0.0,30.0,0.0,2.577910126560005
29979,15,0.419,0.0,30.0,0.0,3.401030138944083
4734,20,0.582,0.0,37.0,0.0,4.096346671859701
975,34,0.972,0.0,35.0,0.0,5.199832137122722
8945,32,0.901,0.0,34.0,0.0,4.969093568337276
5331,99,2.825,0.0,39.0,0.0,8.55684489719164
4627,38,1.086,0.0,33.0,0.0,5.4807520143355
6613,57,1.665,0.0,36.0,0.0,6.802429569502947
5594,17,0.471,0.0,31.0,0.0,3.58999262492934
200728,40,1.129,0.0,35.0,0.0,5.550961373687639
9146,79,2.26,0.0,37.0,0.0,7.745604843677117
3006,24,0.675,0.0,35.0,0.0,4.317872047550625
3185,3,0.08,0.0,28.0,0.0,1.4600451129097798
5290,31,0.859,0.0,31.0,0.0,4.813552668174442
5071,35,1.007,0.0,37.0,0.0,5.3181984011725465
207,65,1.832,0.0,33.0,0.0,6.970679046288559
11030,2,0.053,0.0,27.0,0.0,1.1847339762978835
363,4,0.107,0.0,30.0,0.0,1.6948225344924532
9040,74,2.098,0.0,34.0,0.0,7.449153367053593
4087,18,0.508,0.0,33.0,0.0,3.76272429153321
2274,20,0.543,0.0,31.0,0.0,3.810599909682421
3064,36,0.993,0.0,33.0,0.0,5.151066344407194
5621,112,3.183,0.0,37.0,0.0,9.00136298210085
6119,63,1.814,0.0,34.0,0.0,7.016311896761192
6117,78,2.215,0.0,33.0,0.0,7.637480350619967
4287,53,1.485,0.0,36.0,0.0,6.299004084174931
10381,27,0.762,0.0,37.0,0.0,4.593959126990623
3190,17,0.485,0.0,32.0,0.0,3.697221178729296
125115,46,1.319,0.0,33.0,0.0,6.027069318048746
7284,29,0.821,0.0,37.0,0.0,4.776586100425153
4188,50,1.392,0.0,33.0,0.0,6.083859741097699
10952,15,0.416,0.0,32.0,0.0,3.3808836676783733
10273,11,0.311,0.0,31.0,0.0,2.953133928557931
57154,16,0.445,0.0,33.0,0.0,3.5013189278090957
2896,27,0.75,0.0,33.0,0.0,4.516846455426828
5330,39,1.102,0.0,35.0,0.0,5.488507968448229
23533,28,0.791,0.0,35.0,0.0,4.675165898251758
146850,30,0.843,0.0,35.0,0.0,4.810560517496116
5434,1,0.026,0.0,26.0,0.0,0.8221921916437785
10133,33,0.921,0.0,34.0,0.0,5.004778397372536
161742,31,0.852,0.0,33.0,0.0,4.773351116446482
6464,8,0.227,0.0,32.0,0.0,2.5341453969519763
23299,13,0.356,0.0,33.0,0.0,3.1130298673406513
